Pointing,Gl,Gb,RA,Dec
MMGPS_U_0926,-35.20185143934182,9.317833804258797,15:04:13.67,-47:50:11.2
MMGPS_U_0927,-34.77648400187106,10.054591817843537,15:04:13.76,-46:59:19.42
MMGPS_U_0928,-33.92574912692954,-10.574632562529235,16:40:17.72,-62:38:31.74
MMGPS_U_0929,-34.3511165644003,-9.837874548944493,16:33:5.42,-62:28:18.75
MMGPS_U_0930,-33.92574912692954,-9.10111653535975,16:30:50.48,-61:39:57.46
MMGPS_U_0931,-34.3511165644003,-8.36435852177501,16:23:54.78,-61:28:2.28
MMGPS_U_0932,-33.92574912692954,-7.627600508190268,16:21:58.64,-60:39:5.63
MMGPS_U_0933,-34.3511165644003,-6.890842494605526,16:15:19.13,-60:25:35.78
MMGPS_U_0934,-33.92574912692954,-6.154084481020783,16:13:39.8,-59:36:10.12
MMGPS_U_0935,-34.3511165644003,-5.417326467436042,16:07:15.95,-59:21:12.56
MMGPS_U_0936,-33.92574912692954,-4.6805684538513,16:05:51.57,-58:31:23.37
MMGPS_U_0937,-34.3511165644003,-3.9438104402665575,15:59:42.76,-58:15:4.56
MMGPS_U_0938,-33.92574912692954,-3.207052426681816,15:58:31.65,-57:24:56.53
MMGPS_U_0939,-34.3511165644003,-2.470294413097074,15:52:37.22,-57:07:22.41
MMGPS_U_0940,-33.92574912692954,-1.7335363995123316,15:51:37.85,-56:16:59.56
MMGPS_U_0941,-34.3511165644003,-0.9967783859275894,15:45:57.1,-55:58:15.56
MMGPS_U_0942,-33.92574912692954,-0.2600203723428489,15:45:8.08,-55:07:41.34
MMGPS_U_0943,-34.3511165644003,0.47673764124189333,15:39:40.32,-54:47:52.42
MMGPS_U_0944,-33.92574912692954,1.2134956548266356,15:39:0.41,-53:57:9.77
MMGPS_U_0945,-34.3511165644003,1.9502536684113778,15:33:44.96,-53:36:20.48
MMGPS_U_0946,-33.92574912692954,2.68701168199612,15:33:13.06,-52:45:31.92
MMGPS_U_0947,-34.3511165644003,3.4237696955808605,15:28:9.25,-52:23:46.37
MMGPS_U_0948,-33.92574912692954,4.160527709165603,15:27:44.37,-51:32:54.05
MMGPS_U_0949,-34.3511165644003,4.897285722750345,15:22:51.57,-51:10:16.01
MMGPS_U_0950,-33.92574912692954,5.634043736335087,15:22:32.82,-50:19:21.78
MMGPS_U_0951,-34.3511165644003,6.370801749919828,15:17:50.42,-49:55:54.68
MMGPS_U_0952,-33.92574912692954,7.107559763504572,15:17:37.02,-49:05:0.1
MMGPS_U_0953,-34.3511165644003,7.844317777089312,15:13:4.45,-48:40:47.06
MMGPS_U_0954,-33.92574912692954,8.581075790674056,15:12:55.7,-47:49:53.5
MMGPS_U_0955,-34.3511165644003,9.317833804258797,15:08:32.42,-47:24:57.36
MMGPS_U_0956,-33.92574912692954,10.054591817843537,15:08:27.69,-46:34:5.97
MMGPS_U_0957,-33.075014251988,-10.574632562529235,16:44:55.47,-62:00:5.37
MMGPS_U_0958,-33.50038168945876,-9.837874548944493,16:37:50.88,-61:50:38.76
MMGPS_U_0959,-33.075014251988,-9.10111653535975,16:35:32.3,-61:02:32.73
MMGPS_U_0960,-33.50038168945876,-8.36435852177501,16:28:43.17,-60:51:24.94
MMGPS_U_0961,-33.075014251988,-7.627600508190268,16:26:42.84,-60:02:42.24
MMGPS_U_0962,-33.50038168945876,-6.890842494605526,16:20:8.88,-59:50:0.36
MMGPS_U_0963,-33.075014251988,-6.154084481020783,16:18:24.94,-59:00:47.29
MMGPS_U_0964,-33.50038168945876,-5.417326467436042,16:12:5.72,-58:46:37.98
MMGPS_U_0965,-33.075014251988,-4.6805684538513,16:10:36.46,-57:56:59.99
MMGPS_U_0966,-33.50038168945876,-3.9438104402665575,16:04:31.48,-57:41:29.43
MMGPS_U_0967,-33.075014251988,-3.207052426681816,16:03:15.29,-56:51:31.27
MMGPS_U_0968,-33.50038168945876,-2.470294413097074,15:57:23.97,-56:34:45.17
MMGPS_U_0969,-33.075014251988,-1.7335363995123316,15:56:19.42,-55:44:30.9
MMGPS_U_0970,-33.50038168945876,-0.9967783859275894,15:50:41.16,-55:26:34.54
MMGPS_U_0971,-33.075014251988,-0.2600203723428489,15:49:46.91,-54:36:7.67
MMGPS_U_0972,-33.50038168945876,0.47673764124189333,15:44:21.1,-54:17:5.87
MMGPS_U_0973,-33.075014251988,1.2134956548266356,15:43:35.98,-53:26:29.44
MMGPS_U_0974,-33.50038168945876,1.9502536684113778,15:38:22.0,-53:06:26.63
MMGPS_U_0975,-33.075014251988,2.68701168199612,15:37:44.93,-52:15:43.23
MMGPS_U_0976,-33.50038168945876,3.4237696955808605,15:32:42.18,-51:54:43.47
MMGPS_U_0977,-33.075014251988,4.160527709165603,15:32:12.2,-51:03:55.34
MMGPS_U_0978,-33.50038168945876,4.897285722750345,15:27:20.1,-50:42:2.34
MMGPS_U_0979,-33.075014251988,5.634043736335087,15:26:56.34,-49:51:11.41
MMGPS_U_0980,-33.50038168945876,6.370801749919828,15:22:14.33,-49:28:28.55
MMGPS_U_0981,-33.075014251988,7.107559763504572,15:21:56.04,-48:37:36.48
MMGPS_U_0982,-33.50038168945876,7.844317777089312,15:17:23.58,-48:14:6.85
MMGPS_U_0983,-33.075014251988,8.581075790674056,15:17:10.05,-47:23:15.07
MMGPS_U_0984,-33.50038168945876,9.317833804258797,15:12:46.65,-46:59:1.52
MMGPS_U_0985,-33.075014251988,10.054591817843537,15:12:37.27,-46:08:11.27
MMGPS_U_0986,-32.22427937704648,-10.574632562529235,16:49:22.59,-61:21:10.69
MMGPS_U_0987,-32.64964681451724,-9.837874548944493,16:42:25.6,-61:12:28.21
MMGPS_U_0988,-32.22427937704648,-9.10111653535975,16:40:3.89,-60:24:37.36
